run,scheme,seed_imp,seed_model,seed_eval,ate_hat,cate_sd_test,cate_iqr_test,mi_ate_sd,mi_ate_iqr,mi_B,M_imputations,n_test
0,baseline_fixed,202,303,404,0.039429873197767924,0.0549100185901341,0.08211632400711769,0.0,0.0,0.0,1,480
0,vary_imp,2029167940,303,404,-0.0012563049356418457,0.05031427387236177,0.07183556038254948,0.0,0.0,0.0,1,480
1,vary_imp,1342382292,303,404,0.05617086823191954,0.06277825445988842,0.08942483158616517,0.0,0.0,0.0,1,480
2,vary_imp,1469265226,303,404,0.050278322079167645,0.030568465306286624,0.04070768872786547,0.0,0.0,0.0,1,480
3,vary_imp,1926751965,303,404,0.03119786740854841,0.044417449463242345,0.06453914372452618,0.0,0.0,0.0,1,480
4,vary_imp,1241873584,303,404,0.04440323943954147,0.05073036000658828,0.06693049677975373,0.0,0.0,0.0,1,480
5,vary_imp,1665772334,303,404,0.10941995789854822,0.05406523624154555,0.07182724357245518,0.0,0.0,0.0,1,480
6,vary_imp,1790251936,303,404,0.04809940044101569,0.03566503425966721,0.04952669728808193,0.0,0.0,0.0,1,480
7,vary_imp,483628758,303,404,-0.026707508913237095,0.05944557125068416,0.08409117563733547,0.0,0.0,0.0,1,480
8,vary_imp,119253155,303,404,0.023405468074536494,0.08041521744286662,0.13168360169770163,0.0,0.0,0.0,1,480
9,vary_imp,644602188,303,404,0.12892856484517523,0.049256930457390345,0.0714777594401692,0.0,0.0,0.0,1,480
10,vary_imp,612176794,303,404,0.055148733348784534,0.05314357388474263,0.067274987072377,0.0,0.0,0.0,1,480
11,vary_imp,1875941738,303,404,0.0035770247693413582,0.0434846441981903,0.058240356575920665,0.0,0.0,0.0,1,480
12,vary_imp,1959843383,303,404,-0.03196381206430723,0.05573521216878608,0.07716294830543634,0.0,0.0,0.0,1,480
13,vary_imp,11307155,303,404,0.04005302755930832,0.03729095265230542,0.051465679703621245,0.0,0.0,0.0,1,480
14,vary_imp,1073283950,303,404,-0.04184249172263512,0.057177573837683314,0.0731681072311052,0.0,0.0,0.0,1,480
